City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Saldanha,PT,36.46,clear sky,41.42,-6.55,
186,Puerto Del Rosario,ES,64.4,scattered clouds,28.5,-13.86,Hotel JM Puerto del Rosario
187,Karratha,AU,83.98,broken clouds,-20.74,116.85,ibis Styles Karratha
192,Lagoa,PT,55.4,scattered clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
194,Port Shepstone,ZA,76.78,light rain,-30.74,30.45,My Den Beachfront B&B And Self-Catering
195,Baneh,IR,35.6,broken clouds,35.99,45.88,ساختمان زیتون
196,Constitucion,MX,42.01,light rain,23.99,-104.67,Hotel Posada San Agustin
197,Enid,US,37.4,clear sky,36.4,-97.88,Ramada by Wyndham Enid
198,Vila Do Maio,CV,71.6,haze,15.13,-23.22,Residence 'I Delfini'
199,Ukiah,US,53.01,clear sky,39.15,-123.21,Hampton Inn Ukiah
200,Nioki,CD,75.88,overcast clouds,-2.72,17.69,
204,Merauke,ID,89.2,broken clouds,-8.49,140.4,Swiss-Belhotel Merauke
205,Raahe,FI,41.0,overcast clouds,64.68,24.47,Hotelli Raahen Hovi
206,Port Lincoln,AU,75.88,scattered clouds,-34.72,135.86,Port Lincoln Hotel
207,Obo,CF,78.4,clear sky,5.39,26.49,
208,Gumdag,TM,48.16,broken clouds,39.2,54.59,
211,Ribeira Grande,PT,55.18,clear sky,38.52,-28.7,Quinta da Meia Eira
212,Gizo,IL,55.4,broken clouds,31.8,34.94,בקתות לשקיעה
213,Qinzhou,CN,73.0,overcast clouds,21.96,108.62,Jinjiang Inn Style Qingzhou Walmart
214,Lashio,MM,73.18,overcast clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
215,Salisbury,GB,46.99,broken clouds,51.07,-1.8,Mercure White Hart Hotel
216,Niquero,CU,70.12,overcast clouds,20.04,-77.58,Niquero Hotel
217,Roald,NO,53.6,overcast clouds,62.58,6.12,Flem Cabins
218,Dzilam Gonzalez,MX,75.88,few clouds,21.28,-88.93,Amina
219,Alibag,IN,84.0,smoke,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
220,Port Macquarie,AU,87.01,scattered clouds,-31.43,152.91,Rydges Port Macquarie
221,Tessalit,ML,46.9,clear sky,20.2,1.01,
222,Bayan,CN,35.2,few clouds,36.1,102.26,Weimin Hotel
223,Lorengau,PG,84.7,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
224,Aden,YE,81.64,broken clouds,12.79,45.03,Sama Emirate Hotel
225,Abha,SA,64.4,clear sky,18.22,42.5,Abha Hotel
226,Bambari,CF,70.84,overcast clouds,5.77,20.68,So WFP Bambari
229,Acapulco,MX,75.2,scattered clouds,16.86,-99.88,Crowne Plaza Acapulco
230,Jalu,LY,43.66,clear sky,29.03,21.55,Jalu Hotel
232,Eyl,SO,79.12,clear sky,7.98,49.82,Amiin Hotel
233,Kaitangata,NZ,62.01,few clouds,-46.28,169.85,Kaitangata Motor Camp
234,Dongsheng,CN,43.84,overcast clouds,29.72,112.52,Xianghong Hotel
237,Gualeguaychu,AR,66.0,clear sky,-33.01,-58.51,Hotel Los Angeles
238,Necochea,AR,55.99,scattered clouds,-38.55,-58.74,dyd -mar Hotel
239,Rio Cuarto,AR,66.2,few clouds,-33.13,-64.35,Hotel Menossi
240,Bilma,NE,40.78,clear sky,18.69,12.92,Expeditions Ténére voyages
241,Barmer,IN,67.6,few clouds,25.74,71.4,Jain Dharamshala
242,Adrar,DZ,35.6,clear sky,27.87,-0.29,s.e.t.setif entenne d'adrar
243,Caala,AO,60.8,heavy intensity rain,-12.85,15.56,Cáala Hotel
244,Calama,CL,50.0,clear sky,-22.46,-68.93,Park Hotel Calama
246,Goure,NE,48.99,clear sky,13.98,10.27,
247,Moba,CD,77.32,overcast clouds,-7.04,29.77,
248,Rocha,UY,65.08,light rain,-34.48,-54.34,Beleza Pura B&B
