City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3hours),Snow Inches (last 3hours)
91,Khvoynaya,RU,2020-01-02 06:34:54,58.9,34.53,34.3,94,100,11.54,light snow,0.0,1.0
92,Palmer,AU,2020-01-02 06:34:54,-34.85,139.16,91.0,54,48,13.87,scattered clouds,0.0,0.0
93,Port Alfred,ZA,2020-01-02 06:34:54,-33.59,26.89,73.0,82,26,5.01,scattered clouds,0.0,0.0
94,Elliot Lake,CA,2020-01-02 06:34:55,46.37,-82.65,33.8,74,90,8.05,overcast clouds,0.0,0.0
95,Provideniya,RU,2020-01-02 06:34:55,64.42,-173.23,-17.54,87,43,10.98,scattered clouds,0.0,0.0
96,Salym,RU,2020-01-02 06:34:55,60.06,71.48,1.0,96,79,4.38,broken clouds,0.0,0.0
97,Hermanus,ZA,2020-01-02 06:34:55,-34.42,19.24,72.0,76,69,16.04,broken clouds,0.06,0.0
98,Tiksi,RU,2020-01-02 06:34:56,71.64,128.87,-24.2,70,0,4.0,clear sky,0.0,0.0
99,Avon,US,2020-01-02 06:33:51,41.45,-82.04,39.99,64,1,13.87,clear sky,0.0,0.0
100,Ostrovnoy,RU,2020-01-02 06:34:56,68.05,39.51,19.9,89,100,14.85,overcast clouds,0.0,0.0
101,Kupang,ID,2020-01-02 06:34:56,-10.16,123.6,82.4,78,75,13.38,broken clouds,0.0,0.0
102,Segovia,ES,2020-01-02 06:32:41,40.95,-4.12,39.99,100,0,2.24,clear sky,0.0,0.0
103,Hobart,AU,2020-01-02 06:33:42,-42.88,147.33,71.01,43,64,14.99,broken clouds,0.0,0.0
104,Ginda,IN,2020-01-02 06:34:57,30.69,78.49,52.48,29,97,4.83,overcast clouds,0.0,0.0
105,Ponta Do Sol,BR,2020-01-02 06:34:58,-20.63,-46.0,66.34,95,100,1.28,light rain,0.94,0.0
106,Nadvoitsy,RU,2020-01-02 06:34:58,63.89,34.27,35.56,88,95,10.65,light rain,1.0,0.0
107,Salalah,OM,2020-01-02 06:34:58,17.01,54.1,78.8,65,20,3.36,few clouds,0.0,0.0
108,Ketchikan,US,2020-01-02 06:34:58,55.34,-131.65,33.8,86,75,3.36,broken clouds,0.0,0.0
109,Artyom,RU,2020-01-02 06:34:59,43.36,132.19,26.6,19,0,6.71,clear sky,0.0,0.0
110,Huarmey,PE,2020-01-02 06:34:59,-10.07,-78.15,67.6,81,68,1.9,broken clouds,0.0,0.0
111,Victoria,BN,2020-01-02 06:30:16,5.28,115.24,87.8,70,75,8.05,broken clouds,0.0,0.0
112,Richards Bay,ZA,2020-01-02 06:34:59,-28.77,32.06,77.14,85,25,9.1,scattered clouds,0.0,0.0
113,Chuy,UY,2020-01-02 06:35:00,-33.69,-53.46,68.14,80,92,9.64,light rain,0.13,0.0
114,Canutama,BR,2020-01-02 06:35:00,-6.53,-64.38,69.76,97,93,0.85,overcast clouds,0.0,0.0
115,Nuuk,GL,2020-01-02 06:35:00,64.17,-51.74,24.8,85,100,13.87,light snow,0.0,0.0
